antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'aluminum foil'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
frozenset({'bagels'}),frozenset({'eggs'}),0.013157894736842105,0.3618421052631579,0.013157894736842105,1.0,2.7636363636363637,1.0,0.008396814404432133,inf,0.6466666666666667,0.03636363636363636,1.0,0.5181818181818182
frozenset({'balloons'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'balloons'}),frozenset({'diapers'}),0.013157894736842105,0.5723684210526315,0.013157894736842105,1.0,1.7471264367816093,1.0,0.005626731301939058,inf,0.43333333333333335,0.022988505747126436,1.0,0.5114942528735632
frozenset({'balloons'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
frozenset({'beans'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'beans'}),frozenset({'diapers'}),0.013157894736842105,0.5723684210526315,0.013157894736842105,1.0,1.7471264367816093,1.0,0.005626731301939058,inf,0.43333333333333335,0.022988505747126436,1.0,0.5114942528735632
frozenset({'beans'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
frozenset({'beef'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'beef'}),frozenset({'diapers'}),0.013157894736842105,0.5723684210526315,0.013157894736842105,1.0,1.7471264367816093,1.0,0.005626731301939058,inf,0.43333333333333335,0.022988505747126436,1.0,0.5114942528735632
frozenset({'beef'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
frozenset({'books'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'chicken'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'coffee'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'conditioner'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'croissants'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'beer'}),frozenset({'diapers'}),0.4605263157894737,0.5723684210526315,0.4473684210526316,0.9714285714285714,1.697208538587849,1.0,0.18377770083102496,14.967105263157892,0.761477761836442,0.7640449438202247,0.9331868131868132,0.8765188834154352
frozenset({'extension cords'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'games'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'garbage bags'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'greeting cards'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'lentils'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'light bulbs'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'magazines'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'oil'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'oranges'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'pears'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'pet food'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'power strips'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'printer ink'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'rolls'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'salmon'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'tea'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'toothbrushes'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'toothpaste'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'toys'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'tuna'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'usb drives'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'vinegar'}),frozenset({'beer'}),0.013157894736842105,0.4605263157894737,0.013157894736842105,1.0,2.1714285714285713,1.0,0.007098337950138504,inf,0.5466666666666667,0.02857142857142857,1.0,0.5142857142857142
frozenset({'books'}),frozenset({'diapers'}),0.013157894736842105,0.5723684210526315,0.013157894736842105,1.0,1.7471264367816093,1.0,0.005626731301939058,inf,0.43333333333333335,0.022988505747126436,1.0,0.5114942528735632
frozenset({'bug spray'}),frozenset({'eggs'}),0.013157894736842105,0.3618421052631579,0.013157894736842105,1.0,2.7636363636363637,1.0,0.008396814404432133,inf,0.6466666666666667,0.03636363636363636,1.0,0.5181818181818182
frozenset({'cake'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
frozenset({'cake'}),frozenset({'yogurt'}),0.013157894736842105,0.05921052631578947,0.013157894736842105,1.0,16.88888888888889,1.0,0.012378808864265928,inf,0.9533333333333334,0.2222222222222222,1.0,0.6111111111111112
frozenset({'cereal'}),frozenset({'milk'}),0.013157894736842105,0.625,0.013157894736842105,1.0,1.6,1.0,0.004934210526315789,inf,0.38,0.021052631578947368,1.0,0.5105263157894737
